               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082719,             0.20725,                   0,             0.22895,             0.50605,             0.22204,            0.071622,            0.058879,             0.15915,                   0,            0.070016,           0.0033315,           0.0033315
                   1,            0.061031,              0.1501,                   0,             0.88831,              0.8928,             0.93535,             0.60045,            0.038649,             0.10094,                   0,            0.039796,           0.0064449,           0.0064449
                   2,            0.051176,             0.12406,                   0,             0.94614,             0.93514,             0.97696,             0.60259,            0.036428,            0.086854,                   0,           0.0093564,           0.0093383,           0.0093383
                   3,            0.044169,             0.11297,                   0,             0.97745,             0.98325,             0.99292,              0.7408,            0.028112,            0.085504,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.037999,             0.10387,                   0,             0.98503,             0.99274,             0.99388,             0.83505,            0.027573,            0.083599,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.034047,            0.097846,                   0,             0.98408,             0.99058,             0.99301,             0.83064,            0.020255,             0.07432,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.031239,            0.093763,                   0,             0.99363,             0.99064,             0.99432,             0.81048,            0.020428,            0.074711,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.029204,            0.091617,                   0,               0.992,             0.99372,             0.99365,             0.82417,            0.019435,             0.07618,                   0,             0.00802,             0.00802,             0.00802
                   8,             0.02773,            0.087257,                   0,             0.99069,             0.99622,             0.99447,             0.89185,            0.016184,            0.077621,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.025831,            0.085495,                   0,             0.99441,             0.99502,             0.99434,             0.91136,            0.017403,            0.065094,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.024821,            0.083602,                   0,             0.99283,             0.99758,             0.99464,             0.84054,            0.016877,            0.080931,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.023652,            0.082334,                   0,             0.99382,             0.99669,             0.99469,              0.9082,            0.015055,            0.078844,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.023633,            0.080785,                   0,             0.99727,             0.99331,             0.99493,             0.89192,            0.014355,            0.089662,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.022498,            0.079109,                   0,             0.99517,             0.99672,             0.99474,              0.8995,            0.013703,            0.082543,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.021435,            0.078286,                   0,             0.99809,             0.99788,             0.99494,             0.90781,            0.014823,            0.089827,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.021213,            0.076719,                   0,             0.99728,             0.99863,             0.99495,             0.92462,            0.012677,            0.077442,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.020631,            0.075728,                   0,             0.99638,             0.99791,             0.99494,             0.92275,            0.012678,            0.083146,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.020031,            0.074771,                   0,             0.99834,             0.99775,             0.99491,              0.9304,            0.012735,            0.085875,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.019486,            0.073557,                   0,             0.99712,             0.99625,             0.99489,             0.91081,            0.012629,            0.079868,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.019031,             0.07321,                   0,             0.99818,             0.99731,             0.99495,             0.93549,            0.011869,            0.069708,                   0,             0.00406,             0.00406,             0.00406
                  20,             0.01852,            0.072125,                   0,             0.99653,             0.99872,             0.99491,             0.94696,            0.011792,            0.084582,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.017991,            0.071265,                   0,             0.99603,             0.99728,             0.99456,             0.93834,            0.012038,            0.073079,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.017705,            0.070071,                   0,             0.99773,             0.99731,             0.99475,             0.94924,            0.011721,             0.10282,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.017398,            0.069793,                   0,             0.99805,             0.99788,             0.99499,             0.94242,            0.011117,            0.080844,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.017039,            0.069173,                   0,             0.99761,             0.99728,             0.99496,             0.95006,            0.011025,             0.06957,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.016439,            0.068036,                   0,               0.996,             0.99713,             0.99475,             0.95322,            0.010816,             0.07158,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.015973,            0.066445,                   0,             0.99744,             0.99743,             0.99486,              0.9501,             0.01084,            0.067658,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.015641,            0.066161,                   0,             0.99653,             0.99761,             0.99492,             0.95426,            0.010807,             0.08462,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.015327,            0.065634,                   0,             0.99819,             0.99807,             0.99497,             0.96052,             0.01044,            0.083689,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.015319,             0.06471,                   0,             0.99788,             0.99663,             0.99496,             0.96031,            0.010363,            0.075489,                   0,             0.00076,             0.00076,             0.00076
